v8-version,6,2,414,54,0
code-creation,Builtin,5,4072,0x322e59952080,15,"Illegal"
code-creation,Builtin,5,4077,0x322e59952100,15,"ObjectAssign"
code-creation,Builtin,5,4078,0x322e59952180,15,"ObjectGetOwnPropertyDescriptor"
code-creation,Builtin,5,4079,0x322e59952200,15,"ObjectGetOwnPropertyDescriptors"
code-creation,Builtin,5,4080,0x322e59952280,15,"ObjectGetOwnPropertyNames"
code-creation,Builtin,5,4081,0x322e59952300,15,"ObjectGetOwnPropertySymbols"
code-creation,Builtin,5,4085,0x322e59952380,15,"ObjectIs"
code-creation,Builtin,5,4105,0x322e59952400,15,"ObjectPreventExtensions"
code-creation,Builtin,5,4106,0x322e59952480,15,"ObjectSeal"
code-creation,Builtin,5,4107,0x322e59952500,848,"ObjectCreate"
code-creation,Builtin,5,4108,0x322e599528c0,15,"ObjectDefineProperties"
code-creation,Builtin,5,4108,0x322e59952940,15,"ObjectDefineProperty"
code-creation,Builtin,5,4109,0x322e599529c0,15,"ObjectFreeze"
code-creation,Builtin,5,4110,0x322e59952a40,15,"ObjectGetPrototypeOf"
code-creation,Builtin,5,4111,0x322e59952ac0,15,"ObjectSetPrototypeOf"
code-creation,Builtin,5,4111,0x322e59952b40,15,"ObjectIsExtensible"
code-creation,Builtin,5,4112,0x322e59952bc0,15,"ObjectIsFrozen"
code-creation,Builtin,5,4113,0x322e59952c40,15,"ObjectIsSealed"
code-creation,Builtin,5,4114,0x322e59952cc0,540,"ObjectKeys"
code-creation,Builtin,5,4115,0x322e59952f40,15,"ObjectEntries"
code-creation,Builtin,5,4115,0x322e59952fc0,15,"ObjectValues"
code-creation,Builtin,5,4116,0x322e59953040,15,"ObjectDefineGetter"
code-creation,Builtin,5,4117,0x322e599530c0,15,"ObjectDefineSetter"
code-creation,Builtin,5,4118,0x322e59953140,1935,"ObjectPrototypeHasOwnProperty"
code-creation,Builtin,5,4119,0x322e59953940,15,"ObjectLookupGetter"
code-creation,Builtin,5,4119,0x322e599539c0,15,"ObjectLookupSetter"
code-creation,Builtin,5,4120,0x322e59953a40,195,"ObjectPrototypeIsPrototypeOf"
code-creation,Builtin,5,4121,0x322e59953b80,15,"ObjectPrototypePropertyIsEnumerable"
code-creation,Builtin,5,4122,0x322e59953c00,1188,"ObjectPrototypeToString"
code-creation,Builtin,5,4123,0x322e59954120,132,"ClassOf"
code-creation,Builtin,5,4124,0x322e59954220,47,"ObjectPrototypeValueOf"
